number,title,year,director,cast,cast2,cast3,rating,summary
193,How to Train Your Dragon,2010,Dean DeBlois,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
194,The General,1926,Clyde Bruckman,Buster Keaton,Marion Mack,Glen Cavender,8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
195,Sherlock Jr.,1924,Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,8.1,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
196,Before Sunrise,1995,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
197,Persona,1966,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.
198,Catch Me If You Can,2002,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,8.1,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor."
199,Prisoners,2013,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
200,12 Years a Slave,2013,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
201,Cool Hand Luke,1967,Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
202,Into the Wild,2007,Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
203,The Wages of Fear,1953,Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
204,Network,1976,Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,8.1,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
205,Stand by Me,1986,Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,8.1,"After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy."
206,Mad Max: Fury Road,2015,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
207,Monty Python's Life of Brian,1979,Terry Jones,Graham Chapman,John Cleese,Michael Palin,8.1,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
208,Barry Lyndon,1975,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
209,Platoon,1986,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,8.1,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
210,Million Dollar Baby,2004,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,8.1,A determined woman works with a hardened boxing trainer to become a professional.
211,Hachi: A Dog's Tale,2009,Lasse Hallström,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,8.1,A college professor bonds with an abandoned dog he takes into his home.
212,Rush,2013,Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde,8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
