number,title,year,director,cast,cast2,cast3,rating,summary
101,The Kid,1921,Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,8.2,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
102,Bicycle Thieves,1948,Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,8.2,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
103,Singin' in the Rain,1952,Stanley Donen,Gene Kelly,Donald O'Connor,Debbie Reynolds,8.2,A silent film production company and cast make a difficult transition to sound.
104,Scarface,1983,Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer,8.2,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
105,Taxi Driver,1976,Martin Scorsese,Robert De Niro,Jodie Foster,Cybill Shepherd,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
106,Amélie,2001,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus,8.2,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
107,Lawrence of Arabia,1962,David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,8.2,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
108,Toy Story 3,2010,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
109,The Sting,1973,George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,8.2,Two grifters team up to pull off the ultimate con.
110,Capharnaüm,2018,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,8.2,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
111,Metropolis,1927,Fritz Lang,Brigitte Helm,Alfred Abel,Gustav Fröhlich,8.2,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
112,For a Few Dollars More,1965,Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,8.2,Two bounty hunters with the same intentions team up to track down a Western outlaw.
113,Ikiru,1952,Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,8.2,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
114,A Separation,2011,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,8.2,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
115,Double Indemnity,1944,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,8.2,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
116,To Kill a Mockingbird,1962,Robert Mulligan,Gregory Peck,John Megna,Frank Overton,8.2,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
117,The Apartment,1960,Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,8.2,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
118,Indiana Jones and the Last Crusade,1989,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
119,Incendies,2010,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,8.2,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
120,Up,2009,Pete Docter,Edward Asner,Jordan Nagai,John Ratzenberger,8.2,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
121,L.A. Confidential,1997,Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,8.2,"As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice."
122,Monty Python and the Holy Grail,1975,Terry Gilliam,Graham Chapman,John Cleese,Eric Idle,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
123,Heat,1995,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
124,Die Hard,1988,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
125,Rashômon,1950,Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
126,Yojimbo,1961,Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
127,Batman Begins,2005,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
128,Unforgiven,1992,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,8.2,"Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett)."
129,Green Book,2018,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
130,Downfall,2004,Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
131,Children of Heaven,1997,Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,8.2,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
132,Some Like It Hot,1959,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,8.2,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
133,Howl's Moving Castle,2004,Hayao Miyazaki,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
134,Come and See,1985,Elem Klimov,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,8.2,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
135,Ran,1985,Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
136,The Great Escape,1963,John Sturges,Steve McQueen,James Garner,Richard Attenborough,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
137,All About Eve,1950,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,8.2,An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.
138,A Beautiful Mind,2001,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,8.2,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
139,My Neighbor Totoro,1988,Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,8.2,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
140,Casino,1995,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite."
141,Pan's Labyrinth,2006,Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
142,Raging Bull,1980,Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,8.2,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
143,The Secret in Their Eyes,2009,Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago,8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
144,"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,8.2,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
145,The Wolf of Wall Street,2013,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,8.1,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
146,The Treasure of the Sierra Madre,1948,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,8.1,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
147,Judgment at Nuremberg,1961,Stanley Kramer,Spencer Tracy,Burt Lancaster,Richard Widmark,8.1,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
148,"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,8.1,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
149,There Will Be Blood,2007,Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,8.1,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
150,Chinatown,1974,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
151,Babam ve Oglum,2005,Çagan Irmak,Çetin Tekindor,Fikret Kuskan,Hümeyra,8.1,The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.
152,The Gold Rush,1925,Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,8.1,A prospector goes to the Klondike in search of gold and finds it and more.
153,Dial M for Murder,1954,Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,8.1,A tennis player frames his neglected wife for murder after she inadvertently foils his plan to have her murdered.
154,V for Vendetta,2005,James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,8.1,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
155,Inside Out,2015,Pete Docter,Amy Poehler,Bill Hader,Lewis Black,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
156,The Seventh Seal,1957,Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,8.1,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
157,Warrior,2011,Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,8.1,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
158,No Country for Old Men,2007,Ethan Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,8.1,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
159,Trainspotting,1996,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
160,The Elephant Man,1980,David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,8.1,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
161,Shutter Island,2010,Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,8.1,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
162,The Sixth Sense,1999,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
163,Room,2015,Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
164,The Thing,1982,John Carpenter,Kurt Russell,Wilford Brimley,Keith David,8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
165,Gone with the Wind,1939,Victor Fleming,Clark Gable,Vivien Leigh,Thomas Mitchell,8.1,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
166,Blade Runner,1982,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
167,The Bridge on the River Kwai,1957,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,8.1,A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
168,Jurassic Park,1993,David Lean,William Holden,Alec Guinness,Jack Hawkins,8.1,"British POWs build a railway bridge across the river Kwai for their Japanese captors, oblivious of the Allies' plans to destroy it."
169,The Third Man,1949,Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
170,On the Waterfront,1954,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
171,Finding Nemo,2003,Andrew Stanton,Albert Brooks,Ellen DeGeneres,Alexander Gould,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
172,Wild Strawberries,1957,Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin,8.1,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
173,Fargo,1996,Joel Coen,William H. Macy,Frances McDormand,Steve Buscemi,8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
174,Kill Bill: Vol. 1,2003,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
175,Gran Torino,2008,Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
176,The Deer Hunter,1978,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,8.1,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
177,Stalker,1979,Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,8.1,A guide leads two men through an area known as the Zone to find a room that grants wishes.
178,The Truman Show,1998,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,8.1,An insurance salesman discovers his whole life is actually a reality TV show.
179,Tokyo Story,1953,Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,8.1,"An old couple visit their children and grandchildren in the city, but receive little attention."
180,Ford v Ferrari,2019,James Mangold,Matt Damon,Christian Bale,Jon Bernthal,8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
181,The Bandit,1996,Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,8.1,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
182,Relatos salvajes,2014,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,8.1,Six short stories that explore the extremities of human behavior involving people in distress.
183,Andhadhun,2018,Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,8.1,"A series of mysterious events changes the life of a blind pianist, who must now report a crime that he should technically know nothing of."
184,Memories of Murder,2003,Bong Joon Ho,Kang-ho Song,Sang-kyung Kim,Roe-ha Kim,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
185,The Big Lebowski,1998,Joel Coen,Jeff Bridges,John Goodman,Julianne Moore,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
186,Mary and Max,2009,Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
187,In the Name of the Father,1993,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
188,Gone Girl,2014,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
189,Klaus,2019,Sergio Pablos,Jason Schwartzman,J.K. Simmons,Rashida Jones,8.1,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
190,Hacksaw Ridge,2016,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
191,The Grand Budapest Hotel,2014,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,8.1,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend."
192,Mr. Smith Goes to Washington,1939,Frank Capra,James Stewart,Jean Arthur,Claude Rains,8.1,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
